Total_Demand,Peak_Demand,Temp,Humidity,Lag1,Lag2,Rolling7,Rolling14,Weekday,Month
913881.68,4052.92,21.41098901098901,82.52747252747253,906328.08,942320.38,1144337.057142857,1136658.0285714285,2,11
860995.63,3979.63,22.511698113207547,71.00754716981132,913881.68,906328.08,1033957.6985714285,1127704.8800000001,3,11
902244.06,3962.56,23.020833333333332,63.1875,860995.63,913881.68,974983.282857143,1117492.5464285712,4,11
864767.59,3692.43,22.216666666666665,64.14583333333333,902244.06,860995.63,943211.6914285714,1122412.7414285713,5,11
817462.58,3628.8,20.320833333333333,73.41666666666667,864767.59,902244.06,886857.1428571428,1124108.0807142856,6,11
817686.24,3800.62,18.076923076923077,85.67032967032966,817462.58,864767.59,869052.2657142857,1105330.1064285715,0,11
775865.3,3880.4,18.50588235294118,68.47058823529412,817686.24,817462.58,850414.7257142857,1062144.652857143,1,11
808136.47,3890.45,18.600760456273765,63.05703422053232,775865.3,817686.24,835308.2671428572,989822.6621428571,2,11
850228.58,3867.79,18.363636363636363,59.16083916083916,808136.47,775865.3,833770.1171428572,933863.9078571427,3,11
828415.98,3961.46,18.963636363636365,61.832727272727276,850228.58,808136.47,823223.2485714285,899103.2657142857,4,11
708937.69,3650.69,21.03347280334728,54.62761506276151,828415.98,850228.58,800961.8342857143,872086.7628571428,5,11
751107.18,3636.01,20.78832116788321,55.66423357664234,708937.69,828415.98,791482.4914285714,839169.8171428572,6,11
804475.16,3818.93,19.29090909090909,67.16,751107.18,708937.69,789595.1942857142,829323.7300000001,0,11
834553.86,3806.91,18.797909407665504,63.167247386759584,804475.16,751107.18,797979.2742857143,824197.0,1,11
830850.1,3812.93,18.78723404255319,56.829787234042556,834553.86,804475.16,801224.0785714285,818266.1728571429,2,11
817492.69,3818.45,18.568773234200744,58.70631970260223,830850.1,834553.86,796547.5228571428,815158.82,3,11
789966.1,4042.99,18.85542168674699,55.80722891566265,817492.69,830850.1,791054.6828571429,807138.9657142857,4,11
836995.96,3831.84,18.041666666666668,63.208333333333336,789966.1,817492.69,809348.7214285714,805155.2778571428,5,11
1090860.8,5693.75,18.75824175824176,63.38461538461539,836995.96,789966.1,857884.9528571429,824683.7221428573,6,12
911150.06,4513.12,18.717770034843205,65.12543554006969,1090860.8,836995.96,873124.2242857143,831359.7092857143,0,12
794266.23,3843.91,19.08560885608856,63.99261992619926,911150.06,1090860.8,867368.8485714284,832674.0614285714,1,12
1155545.26,4706.55,18.818815331010452,56.01393728222997,794266.23,911150.06,913753.8714285714,857488.975,2,12
1426879.49,6155.73,17.006968641114984,46.37979094076655,1155545.26,794266.23,1000809.1285714285,898678.3257142857,3,12
1885820.93,7759.41,16.8125,48.208333333333336,1426879.49,1155545.26,1157359.8185714285,974207.2507142856,4,12
1662634.27,7076.87,16.297902097902096,52.06293706293706,1885820.93,1426879.49,1275308.1485714284,1042328.4349999999,5,12
1424497.59,5580.43,15.710416666666667,66.33333333333333,1662634.27,1885820.93,1322970.5471428572,1090427.75,6,12
1273236.44,5311.69,13.842647058823529,71.88235294117646,1424497.59,1662634.27,1374697.1728571428,1123910.6985714284,0,12
1016070.19,4291.45,13.297777777777778,72.08888888888889,1273236.44,1424497.59,1406383.4528571428,1136876.1507142857,1,12
946739.69,4160.21,13.385714285714286,62.16483516483517,1016070.19,1273236.44,1376554.0857142857,1145153.9785714285,2,12
14832.94,2223.09,12.3,69.0,946739.69,1016070.19,1174833.15,1087821.1392857144,3,12
